operator_rank,operator,operator_facilities_in_gap,branch,city,state,lat,lon,website
1,"ADM",36,"","Buffalo","NY",42.884,-78.8597,""
1,"ADM",36,"","Carman","IL",40.7551,-91.0564,""
1,"ADM",36,"","Carthage","MO",37.1597,-94.3112,""
1,"ADM",36,"","Decatur","IL",39.8583,-88.9382,""
1,"ADM",36,"","Finley","TN",36.0169,-89.5134,""
1,"ADM",36,"","Fowler","IN",40.6255,-87.309,""
1,"ADM",36,"","Hebron","ND",46.8936,-102.0367,""
1,"ADM",36,"","Helena","AR",34.5325,-90.6298,""
1,"ADM",36,"","Henderson","KY",37.8274,-87.5632,""
1,"ADM",36,"","Hensler","ND",47.1459,-101.1594,""
1,"ADM",36,"","Hutchinson","KS",38.055,-97.9311,""
1,"ADM",36,"","Ledbetter","KY",37.0611,-88.4665,""
1,"ADM",36,"","Logansport","IN",40.7604,-86.3599,""
1,"ADM",36,"","Melbourne","KY",39.0067,-84.3538,""
1,"ADM",36,"","Memphis","TN",35.1274,-89.9845,""
1,"ADM",36,"","Montpelier","IN",40.5577,-85.2513,""
1,"ADM",36,"","Mount Vernon","IN",37.9506,-87.8569,""
1,"ADM",36,"","New Berlin","IL",39.7681,-89.855,""
1,"ADM",36,"","Newburgh","IN",37.9637,-87.3938,""
1,"ADM",36,"","Norfolk","NE",42.0329,-97.4229,""
1,"ADM",36,"","Ottawa","IL",41.3526,-88.8416,""
1,"ADM",36,"","Ottawa Lake","MI",41.7683,-83.6856,""
1,"ADM",36,"","Paducah","KY",37.0368,-88.5934,""
1,"ADM",36,"","Quincy","IL",39.9307,-91.3763,""
1,"ADM",36,"","Sauget","IL",38.6427,-90.1387,""
1,"ADM",36,"","Snover","MI",43.4886,-82.9301,""
1,"ADM",36,"","Spiritwood","ND",46.9865,-98.5219,""
1,"ADM",36,"","Spring Valley","IL",41.3279,-89.2042,""
1,"ADM",36,"","St. Cloud","MN",45.541,-94.1819,""
1,"ADM",36,"","St. Louis","MO",38.6756,-90.2385,""
1,"ADM",36,"","St. Paul","MN",44.9384,-93.2214,""
1,"ADM",36,"","Toledo","OH",41.6525,-83.5085,""
1,"ADM",36,"","Valdosta","GA",30.7539,-83.3321,""
1,"ADM",36,"","Vidalia","LA",31.5782,-91.4695,""
1,"ADM",36,"","Winona","MN",44.03,-91.7009,""
1,"ADM",36,"","Wisner","NE",41.998,-96.917,""
2,"Frontier Cooperative",34,"Avoca","Avoca","NE",40.8159,-96.0957,""
2,"Frontier Cooperative",34,"Bellwood","Bellwood","NE",41.3474,-97.2747,""
2,"Frontier Cooperative",34,"Bennet","Bennet","NE",40.68,-96.5064,""
2,"Frontier Cooperative",34,"Brainard","Brainard","NE",41.1832,-96.9882,""
2,"Frontier Cooperative",34,"Bruno","Bruno","NE",41.2718,-96.9646,""
2,"Frontier Cooperative",34,"Burr","Burr","NE",40.5601,-96.2384,""
2,"Frontier Cooperative",34,"Cedar Bluffs","Cedar Bluffs","NE",41.3835,-96.5691,""
2,"Frontier Cooperative",34,"Ceresco","Ceresco","NE",41.0681,-96.6398,""
2,"Frontier Cooperative",34,"Cook","Cook","NE",40.4986,-96.1526,""
2,"Frontier Cooperative",34,"Duncan","Duncan","NE",41.3895,-97.4948,""
2,"Frontier Cooperative",34,"Dwight","Dwight","NE",41.0894,-96.9931,""
2,"Frontier Cooperative",34,"Eagle","Eagle","NE",40.8169,-96.429,""
2,"Frontier Cooperative",34,"Elk Creek","Elk Creek","NE",40.2977,-96.1421,""
2,"Frontier Cooperative",34,"Elmwood","Elmwood","NE",40.8378,-96.2944,""
2,"Frontier Cooperative",34,"Greenwood","Greenwood","NE",40.9706,-96.4258,""
2,"Frontier Cooperative",34,"Manley","Manley","NE",40.9207,-96.168,""
2,"Frontier Cooperative",34,"Mead","Mead","NE",41.2393,-96.4961,""
2,"Frontier Cooperative",34,"Murdock","Murdock","NE",40.919,-96.2848,""
2,"Frontier Cooperative",34,"Nebraska City","Nebraska City","NE",40.6747,-95.8619,""
2,"Frontier Cooperative",34,"North Bend","North Bend","NE",41.4689,-96.7813,""
2,"Frontier Cooperative",34,"Osceola","Osceola","NE",41.1966,-97.5571,""
2,"Frontier Cooperative",34,"Palmyra","Palmyra","NE",40.705,-96.3999,""
2,"Frontier Cooperative",34,"Mynard","Plattsmouth","NE",40.9992,-95.9139,""
2,"Frontier Cooperative",34,"Prague","Prague","NE",41.3036,-96.8301,""
2,"Frontier Cooperative",34,"Schuyler","Schuyler","NE",41.4591,-97.0628,""
2,"Frontier Cooperative",34,"Silver Creek","Silver Creek","NE",41.319,-97.6671,""
2,"Frontier Cooperative",34,"Otoe","Syracuse","NE",40.6614,-96.1824,""
2,"Frontier Cooperative",34,"Syracuse","Syracuse","NE",40.6614,-96.1824,""
2,"Frontier Cooperative",34,"Tecumsech","Tecumseh","NE",40.3697,-96.205,""
2,"Frontier Cooperative",34,"Tecumseh North","Tecumseh","NE",40.3697,-96.205,""
2,"Frontier Cooperative",34,"Wahoo","Wahoo","NE",41.3036,-96.8301,""
2,"Frontier Cooperative",34,"Walton","Walton","NE",40.7975,-96.5359,""
2,"Frontier Cooperative",34,"Waverly","Waverly","NE",40.9222,-96.526,""
2,"Frontier Cooperative",34,"Weston","Weston","NE",41.1811,-96.7691,""
3,"Producer Ag",32,"LIBERTY"," Liberty","KS",37.1576,-95.6017,""
3,"Producer Ag",32,"ALTA VISTA","Alta Vista","KS",38.8636,-96.48,""
3,"Producer Ag",32,"ARGONIA NORTH","Argonia","KS",37.284,-97.7557,""
3,"Producer Ag",32,"ARGONIA SOUTH","Argonia","KS",37.284,-97.7557,""
3,"Producer Ag",32,"BENTON","Benton","KS",37.7946,-97.0971,""
3,"Producer Ag",32,"BLUFF CITY","Bluff City","KS",37.0838,-97.8754,""
3,"Producer Ag",32,"BUHLER","Buhler","KS",38.1309,-97.7691,""
3,"Producer Ag",32,"BURNS","Burns","KS",38.1222,-96.8634,""
3,"Producer Ag",32,"CASTLETON","Castleton","KS",38.055,-97.9311,""
3,"Producer Ag",32,"COFFEYVILLE","Coffeyville","KS",37.0441,-95.6328,""
3,"Producer Ag",32,"DANVILLE","Danville","KS",37.2674,-97.8689,""
3,"Producer Ag",32,"FLORENCE","Florence","KS",38.2415,-96.9346,""
3,"Producer Ag",32,"GROVELAND","Groveland","KS",38.3763,-97.6702,""
3,"Producer Ag",32,"HAVEN","Haven","KS",37.8989,-97.7828,""
3,"Producer Ag",32,"HILTON","Hilton","KS",38.3763,-97.6702,""
3,"Producer Ag",32,"LINDSBORG","Lindsborg","KS",38.5761,-97.6739,""
3,"Producer Ag",32,"LONGFORD","Longford","KS",39.1834,-97.2499,""
3,"Producer Ag",32,"MANHATTAN","Manhattan","KS",39.1938,-96.5858,""
3,"Producer Ag",32,"MARQUETTE","Marquette","KS",38.556,-97.8381,""
3,"Producer Ag",32,"MCPHERSON","McPherson","KS",38.3763,-97.6702,""
3,"Producer Ag",32,"SUMNER COUNTY","Milan","KS",37.2578,-97.6521,""
3,"Producer Ag",32,"MOUNDRIDGE","Moundridge","KS",38.206,-97.5088,""
3,"Producer Ag",32,"NEWTON","North Newton","KS",38.0743,-97.3473,""
3,"Producer Ag",32,"ONAGA","Onaga","KS",39.4889,-96.17,""
3,"Producer Ag",32,"OXFORD","Oxford","KS",37.2653,-97.1761,""
3,"Producer Ag",32,"PEABODY","Peabody","KS",38.1737,-97.1184,""
3,"Producer Ag",32,"RICE COUNTY MKC","Rice County","KS",38.3349,-98.1831,""
3,"Producer Ag",32,"NEW HAVEN","South Haven","KS",37.05,-97.4042,""
3,"Producer Ag",32,"TALMAGE","Talmage","KS",39.0269,-97.2597,""
3,"Producer Ag",32,"WALTON","Walton","KS",38.1239,-97.2361,""
3,"Producer Ag",32,"WHITEWATER","Whitewater","KS",37.9612,-97.1308,""
3,"Producer Ag",32,"WICHITA","Wichita Terminal","KS",37.7719,-97.3175,""
4,"Landus Cooperative",31,"Aredale, IA","Aredale","IA",42.8318,-93.021,""
4,"Landus Cooperative",31,"Atlantic, IA","Atlantic","IA",41.4003,-95.0101,""
4,"Landus Cooperative",31,"Bayard, IA","Bayard","IA",41.8519,-94.5583,""
4,"Landus Cooperative",31,"Beaver, IA","Beaver","IA",42.0387,-94.1436,""
4,"Landus Cooperative",31,"Boone, IA","Boone","IA",42.0694,-93.8781,""
4,"Landus Cooperative",31,"Boxholm, IA","Boxholm","IA",42.1706,-94.1052,""
4,"Landus Cooperative",31,"Bradford, IA","Bradford","IA",42.633,-93.2449,""
4,"Landus Cooperative",31,"Bricelyn, MN","Bricelyn","MN",43.5746,-93.8211,""
4,"Landus Cooperative",31,"Churdan, IA","Churdan","IA",42.1614,-94.4933,""
4,"Landus Cooperative",31,"Collins, IA","Collins","IA",41.9032,-93.3008,""
4,"Landus Cooperative",31,"Dawson, IA","Dawson","IA",41.8324,-94.2171,""
4,"Landus Cooperative",31,"Dayton, IA","Dayton","IA",42.2594,-94.061,""
4,"Landus Cooperative",31,"Farnhamville, IA","Farnhamville","IA",42.2692,-94.4226,""
4,"Landus Cooperative",31,"Gowrie, IA","Gowrie","IA",42.2767,-94.2987,""
4,"Landus Cooperative",31,"Greene, IA","Greene","IA",42.8958,-92.8024,""
4,"Landus Cooperative",31,"Jefferson, IA","Jefferson","IA",42.0093,-94.3888,""
4,"Landus Cooperative",31,"Latimer, IA","Latimer","IA",42.7598,-93.3518,""
4,"Landus Cooperative",31,"Manilla, IA","Manilla","IA",41.8922,-95.2391,""
4,"Landus Cooperative",31,"New Hartford, IA","New Hartford","IA",42.5831,-92.6164,""
4,"Landus Cooperative",31,"Panora, IA","Panora","IA",41.6967,-94.3606,""
4,"Landus Cooperative",31,"Grant, IA","Paton","IA",42.1658,-94.273,""
4,"Landus Cooperative",31,"Plainfield, IA","Plainfield","IA",42.8503,-92.5116,""
4,"Landus Cooperative",31,"Pleasant Hill, IA","Pleasant Hill","IA",41.5839,-93.5199,""
4,"Landus Cooperative",31,"Rake, IA","Rake","IA",43.4767,-93.9171,""
4,"Landus Cooperative",31,"Ralston, IA","Ralston","IA",42.0414,-94.6321,""
4,"Landus Cooperative",31,"Rippey, IA","Rippey","IA",41.9257,-94.2132,""
4,"Landus Cooperative",31,"Rockwell City, IA","Rockwell City","IA",42.3961,-94.6292,""
4,"Landus Cooperative",31,"Rushville, IN","Rushville","IN",39.6192,-85.4321,""
4,"Landus Cooperative",31,"Somers, IA","Somers","IA",42.3561,-94.4464,""
