operator,label,location_id,rows,board_url
"AgMark LLC.","Asherville","462","12","https://agmarkllc.agricharts.com/markets/cashgrid.php"
"AgMark LLC.","Gretna","54438","12","https://agmarkllc.agricharts.com/markets/cashgrid.php"
"AgMark LLC.","Kensington North","26639","12","https://agmarkllc.agricharts.com/markets/cashgrid.php"
"AgMark LLC.","South Lawrence","37957","12","https://agmarkllc.agricharts.com/markets/cashgrid.php"
"AgMark LLC.","Concordia East","445","10","https://agmarkllc.agricharts.com/markets/cashgrid.php"
"AgMark LLC.","4 Corners","54442","9","https://agmarkllc.agricharts.com/markets/cashgrid.php"
"AgMark LLC.","North Lawrence","37968","1","https://agmarkllc.agricharts.com/markets/cashgrid.php"
"AGrowStar","CALHOUN, GA","5219","2","https://agrowstar.agricharts.com/markets/cashgrid.php"
"AGrowStar","CONWAY, SC","10718","2","https://agrowstar.agricharts.com/markets/cashgrid.php"
"AGrowStar","KINGSTREE, SC","10688","2","https://agrowstar.agricharts.com/markets/cashgrid.php"
"AGrowStar","LYNCHBURG, SC","5220","2","https://agrowstar.agricharts.com/markets/cashgrid.php"
"AGrowStar","ROSIER, GA","10690","2","https://agrowstar.agricharts.com/markets/cashgrid.php"
"AGrowStar","SYLVANIA, GA","5218","2","https://agrowstar.agricharts.com/markets/cashgrid.php"
"AGrowStar","WRENS, GA","10689","2","https://agrowstar.agricharts.com/markets/cashgrid.php"
"Agtegra","Pollock","50055","36","https://agtegra.agricharts.com/markets/cashgrid.php"
"Agtegra","Hague","50056","34","https://agtegra.agricharts.com/markets/cashgrid.php"
"Agtegra","Java","50047","34","https://agtegra.agricharts.com/markets/cashgrid.php"
"Agtegra","Lebanon","50061","34","https://agtegra.agricharts.com/markets/cashgrid.php"
"Agtegra","McLaughlin","22657","34","https://agtegra.agricharts.com/markets/cashgrid.php"
"Agtegra","Kennebec","3127","32","https://agtegra.agricharts.com/markets/cashgrid.php"
"Agtegra","Alpena","3124","30","https://agtegra.agricharts.com/markets/cashgrid.php"
"Agtegra","Highmore","3126","30","https://agtegra.agricharts.com/markets/cashgrid.php"
"Agtegra","Huron","3129","30","https://agtegra.agricharts.com/markets/cashgrid.php"
