operator,label,state,how_the_state_was_decided,lat,lon,precision,via,location_id,platform,board_url
"Ag Plus, Inc","Churubusco","IN","one town of that name in the directory","41.229","-85.3244","town","zip-centroid","20014","agricharts","https://mobile.agplusinc.com/cash/prices.php"
"Ag Plus, Inc","Garrett","IN","one town of that name in the directory","41.3482","-85.1347","town","zip-centroid","85821","agricharts","https://mobile.agplusinc.com/cash/prices.php"
"Ag Plus, Inc","Monroeville","IN","several states have the town; the operator's own is one","40.987","-84.8937","town","zip-centroid","31646","agricharts","https://mobile.agplusinc.com/cash/prices.php"
"Ag Plus, Inc","Raber","","no town of that name in data/directory.json","","","","","20016","agricharts","https://mobile.agplusinc.com/cash/prices.php"
"Ag Plus, Inc","South Whitley","","no town of that name in data/directory.json","","","","","20013","agricharts","https://mobile.agplusinc.com/cash/prices.php"
"AgMark LLC.","4 Corners","","no town of that name in data/directory.json","","","","","54442","agricharts-cashgrid","https://www.agmarkllc.com/markets/cashgrid.php"
"AgMark LLC.","Agra","","no town of that name in data/directory.json","","","","","26641","agricharts-cashgrid","https://www.agmarkllc.com/markets/cashgrid.php"
"AgMark LLC.","Asherville","","no town of that name in data/directory.json","","","","","462","agricharts-cashgrid","https://www.agmarkllc.com/markets/cashgrid.php"
"AgMark LLC.","Athol","","no town of that name in data/directory.json","","","","","54336","agricharts-cashgrid","https://www.agmarkllc.com/markets/cashgrid.php"
"AgMark LLC.","Belleville","WI","one town of that name in the directory","42.8669","-89.5377","town","zip-centroid","10111","agricharts-cashgrid","https://www.agmarkllc.com/markets/cashgrid.php"
"AgMark LLC.","Beloit","KS","one town of that name in the directory","39.4416","-98.1192","town","zip-centroid","463","agricharts-cashgrid","https://www.agmarkllc.com/markets/cashgrid.php"
"AgMark LLC.","Burlington","","AMBIGUOUS — IA/IN, and nothing chooses between them","","","","","40603","agricharts-cashgrid","https://www.agmarkllc.com/markets/cashgrid.php"
"AgMark LLC.","Cedar","","no town of that name in data/directory.json","","","","","54337","agricharts-cashgrid","https://www.agmarkllc.com/markets/cashgrid.php"
"AgMark LLC.","Concordia East","","no town of that name in data/directory.json","","","","","445","agricharts-cashgrid","https://www.agmarkllc.com/markets/cashgrid.php"
"AgMark LLC.","Concordia Terminal","","no town of that name in data/directory.json","","","","","470","agricharts-cashgrid","https://www.agmarkllc.com/markets/cashgrid.php"
"AgMark LLC.","Courtland","","no town of that name in data/directory.json","","","","","10125","agricharts-cashgrid","https://www.agmarkllc.com/markets/cashgrid.php"
"AgMark LLC.","Delphos","OH","one town of that name in the directory","40.8336","-84.3247","town","zip-centroid","87262","agricharts-cashgrid","https://www.agmarkllc.com/markets/cashgrid.php"
"AgMark LLC.","Edgerton","","AMBIGUOUS — IN/MN/OH, and nothing chooses between them","","","","","37958","agricharts-cashgrid","https://www.agmarkllc.com/markets/cashgrid.php"
"AgMark LLC.","Glade","","no town of that name in data/directory.json","","","","","26643","agricharts-cashgrid","https://www.agmarkllc.com/markets/cashgrid.php"
"AgMark LLC.","Glen Elder","","no town of that name in data/directory.json","","","","","447","agricharts-cashgrid","https://www.agmarkllc.com/markets/cashgrid.php"
"AgMark LLC.","Gretna","","no town of that name in data/directory.json","","","","","54438","agricharts-cashgrid","https://www.agmarkllc.com/markets/cashgrid.php"
"AgMark LLC.","Haddam","","no town of that name in data/directory.json","","","","","28712","agricharts-cashgrid","https://www.agmarkllc.com/markets/cashgrid.php"
"AgMark LLC.","Hunter","ND","one town of that name in the directory","47.1905","-97.217","town","zip-centroid","448","agricharts-cashgrid","https://www.agmarkllc.com/markets/cashgrid.php"
"AgMark LLC.","Jamestown","","AMBIGUOUS — MO/ND/OH, and nothing chooses between them","","","","","458","agricharts-cashgrid","https://www.agmarkllc.com/markets/cashgrid.php"
"AgMark LLC.","Jewell","","AMBIGUOUS — IA/OH, and nothing chooses between them","","","","","449","agricharts-cashgrid","https://www.agmarkllc.com/markets/cashgrid.php"
"AgMark LLC.","Kensington North","","no town of that name in data/directory.json","","","","","26639","agricharts-cashgrid","https://www.agmarkllc.com/markets/cashgrid.php"
"AgMark LLC.","Kirwin","","no town of that name in data/directory.json","","","","","26642","agricharts-cashgrid","https://www.agmarkllc.com/markets/cashgrid.php"
"AgMark LLC.","Lancaster","","no town of that name in data/directory.json","","","","","86810","agricharts-cashgrid","https://www.agmarkllc.com/markets/cashgrid.php"
"AgMark LLC.","LeLoup","","no town of that name in data/directory.json","","","","","37971","agricharts-cashgrid","https://www.agmarkllc.com/markets/cashgrid.php"
"AgMark LLC.","Lincoln","KS","several states have the town; the operator's own is one","","","","","452","agricharts-cashgrid","https://www.agmarkllc.com/markets/cashgrid.php"
"AgMark LLC.","Logan","","AMBIGUOUS — IA/OH, and nothing chooses between them","","","","","54439","agricharts-cashgrid","https://www.agmarkllc.com/markets/cashgrid.php"
"AgMark LLC.","Melvern","","no town of that name in data/directory.json","","","","","37978","agricharts-cashgrid","https://www.agmarkllc.com/markets/cashgrid.php"
"AgMark LLC.","Midland","SD","one town of that name in the directory","44.0717","-101.1554","town","zip-centroid","37970","agricharts-cashgrid","https://www.agmarkllc.com/markets/cashgrid.php"
"AgMark LLC.","Narka","","no town of that name in data/directory.json","","","","","28714","agricharts-cashgrid","https://www.agmarkllc.com/markets/cashgrid.php"
