operator,label,town,state,stateHint,why,locationId,rows,commodities,platform,board
"Adell Cooperative","location 2451","","","WI","""location 2451"" is this repository's own placeholder, not a name the board gave","2451","9","Corn Soybeans Wheat Oats","cashbidssingle","https://adellcoop.com/"
"Cameron Cooperative Elevator Association","Cameron Coop","","","MO","""Cameron Coop"" is the operator's own name — the board does not say which yard","3464","2","Corn Soybeans","cashbidssingle","https://cameroncoop.com/"
"Crossroads Coop","Bridgeport","Bridgeport","","NE","no directory row for this operator at this town","2072","4","Wheat Corn","cashbidssingle","https://crossroadscoop.com/"
"Elkhart Grain Company","Cash Bids","","","IL","""Cash Bids"" is nothing but the operator's name and boilerplate","3436","8","Corn Soybeans","cashbidssingle","https://elkhartgrain.com/cashbidssingle-3436"
"Farmers Grain Company of Roseville","FGC Cash Bids","","","IL","""FGC Cash Bids"" peels to the initialism ""FGC"" — find out which yard it means","3357","10","Corn Soybeans","cashbidssingle","https://fgcroseville.com/"
"Farm Service Elevator","Farm Service Elevator","","","MN","""Farm Service Elevator"" is the operator's own name — the board does not say which yard","3261","10","Corn","cashbidssingle","https://fsemn.com/"
"Graymont Co-op","Cash Bids","","","","""Cash Bids"" is nothing but the operator's name and boilerplate","3404","6","Corn Soybeans","cashbidssingle","https://graymontcoop.com/cashbidssingle-3404"
"Hillsdale Elevator Company","Hillsdale/Fenton","","","IL","""Hillsdale/Fenton"" joins two names — decide which town this bid belongs to, or whether it is one","3559","9","#1 Yellow Soybeans #2 Yellow Corn","cashbidssingle","https://hillsdaleelevator.com/"
"Hillsdale Elevator Company","Annawan","Annawan","","IL","no directory row for this operator at this town","3560","8","#1 Yellow Soybeans #2 Yellow Corn","cashbidssingle","https://hillsdaleelevator.com/"
"Hillsdale Elevator Company","Geneseo","Geneseo","","IL","no directory row for this operator at this town","3561","10","#1 Yellow Soybeans #2 Yellow Corn","cashbidssingle","https://hillsdaleelevator.com/"
"Hillsdale Elevator Company","Orion","Orion","","IL","no directory row for this operator at this town","3562","10","#1 Yellow Soybeans #2 Yellow Corn","cashbidssingle","https://hillsdaleelevator.com/"
"Hillsdale Elevator Company","Galesburg","Galesburg","","IL","no directory row for this operator at this town","3563","10","#1 Yellow Soybeans #2 Yellow Corn","cashbidssingle","https://hillsdaleelevator.com/"
"Hillsdale Elevator Company","Abingdon","Abingdon","","IL","no directory row for this operator at this town","3564","8","#1 Yellow Soybeans #2 Yellow Corn","cashbidssingle","https://hillsdaleelevator.com/"
"Hillsdale Elevator Company","Alexis","Alexis","","IL","no directory row for this operator at this town","3565","8","#1 Yellow Soybeans #2 Yellow Corn","cashbidssingle","https://hillsdaleelevator.com/"
"Hillsdale Elevator Company","Alpha","Alpha","","IL","no directory row for this operator at this town","3566","4","#2 Yellow Corn","cashbidssingle","https://hillsdaleelevator.com/"
"Hillsdale Elevator Company","Henderson","Henderson","","IL","no directory row for this operator at this town","3567","10","#1 Yellow Soybeans #2 Yellow Corn","cashbidssingle","https://hillsdaleelevator.com/"
"Hillsdale Elevator Company","New Windsor","New Windsor","","IL","no directory row for this operator at this town","3568","10","#1 Yellow Soybeans #2 Yellow Corn","cashbidssingle","https://hillsdaleelevator.com/"
