operator,location,state,copies,id,host,platform,enabled,has_phone,has_coord,suggestion
"CHS HIGH PLAINS","HOLYOKE","CO","3","chshighplains-holyoke","api.bushelpowered.com","bushel","true","no","yes","cannot tell these apart — look"
"CHS HIGH PLAINS","HOLYOKE","CO","3","chshighplains-holyokeshuttle","api.bushelpowered.com","bushel","true","no","yes","cannot tell these apart — look"
"CHS HIGH PLAINS","HOLYOKE","CO","3","chshighplains-stateline","api.bushelpowered.com","bushel","true","no","yes","cannot tell these apart — look"
"AGMARK LLC.","BELOIT","KS","2","agmarkllc-beloit","agmarkllc.agricharts.com","agricharts-cashgrid","true","no","yes","cannot tell these apart — look"
"AGMARK LLC.","BELOIT","KS","2","agmarkresp-beloit","agmarkresp.agricharts.com","agricharts-cashgrid","true","no","yes","cannot tell these apart — look"
"AGMARK LLC.","BURLINGAME","KS","2","agmarkllc-burlingame","www.agmarkllc.com","agricharts-cashgrid","true","yes","no","the other one looks better"
"AGMARK LLC.","BURLINGAME","KS","2","agmarkresp-burlingame","agmarkresp.agricharts.com","agricharts-cashgrid","true","yes","no","KEEP"
"AGMARK LLC.","CLAY CENTER","KS","2","agmarkllc-claycenter","www.agmarkllc.com","agricharts-cashgrid","true","yes","no","the other one looks better"
"AGMARK LLC.","CLAY CENTER","KS","2","agmarkresp-claycenter","agmarkresp.agricharts.com","agricharts-cashgrid","true","yes","no","KEEP"
"AGMARK LLC.","CLIFTON","KS","2","agmarkllc-clifton","www.agmarkllc.com","agricharts-cashgrid","true","yes","no","the other one looks better"
"AGMARK LLC.","CLIFTON","KS","2","agmarkresp-clifton","agmarkresp.agricharts.com","agricharts-cashgrid","true","yes","no","KEEP"
"AGMARK LLC.","CLYDE","KS","2","agmarkllc-clyde","www.agmarkllc.com","agricharts-cashgrid","true","yes","no","the other one looks better"
"AGMARK LLC.","CLYDE","KS","2","agmarkresp-clyde","agmarkresp.agricharts.com","agricharts-cashgrid","true","yes","no","KEEP"
"AGMARK LLC.","GAYLORD","MN","2","agmarkllc-gaylord","www.agmarkllc.com","agricharts-cashgrid","true","no","yes","the other one looks better"
"AGMARK LLC.","GAYLORD","MN","2","agmarkresp-gaylord","agmarkresp.agricharts.com","agricharts-cashgrid","true","no","yes","KEEP"
"AGMARK LLC.","GREENLEAF","KS","2","agmarkllc-greenleaf","www.agmarkllc.com","agricharts-cashgrid","true","yes","no","the other one looks better"
"AGMARK LLC.","GREENLEAF","KS","2","agmarkresp-greenleaf","agmarkresp.agricharts.com","agricharts-cashgrid","true","yes","no","KEEP"
"AGMARK LLC.","HOLTON","KS","2","agmarkllc-holton","www.agmarkllc.com","agricharts-cashgrid","true","no","no","the other one looks better"
"AGMARK LLC.","HOLTON","KS","2","agmarkresp-holton","agmarkresp.agricharts.com","agricharts-cashgrid","true","no","no","KEEP"
"AGMARK LLC.","JUNCTION","KS","2","agmarkllc-junction","www.agmarkllc.com","agricharts-cashgrid","true","yes","no","the other one looks better"
"AGMARK LLC.","JUNCTION","KS","2","agmarkresp-junction","agmarkresp.agricharts.com","agricharts-cashgrid","true","yes","no","KEEP"
"AGMARK LLC.","LEONARDVILLE","KS","2","agmarkllc-leonardville","www.agmarkllc.com","agricharts-cashgrid","true","yes","no","the other one looks better"
"AGMARK LLC.","LEONARDVILLE","KS","2","agmarkresp-leonardville","agmarkresp.agricharts.com","agricharts-cashgrid","true","yes","no","KEEP"
