operator,platform,id,declared,siblings_declare,this_capture_supports,residuals,rows_unexplained
Ag-Land FS,dtn-cs,aglandfs-alto,floor-cent,round-cent-either,floor-cent,0 0.25 0.5 0.75,0
Ag-Land FS,dtn-cs,aglandfs-dunlap,floor-cent,round-cent-either,floor-cent,0 0.25 0.5 0.75,0
Ag-Land FS,dtn-cs,aglandfs-elmwood,floor-cent,round-cent-either,floor-cent,0 0.25 0.5 0.75,0
Ag-Land FS,dtn-cs,aglandfs-greenvalley,round-cent-either,floor-cent,round-cent-either,-0.25 0 0.25 0.5,0
Ag-Land FS,dtn-cs,aglandfs-monica,floor-cent,round-cent-either,floor-cent,0 0.25 0.5 0.75,0
Ag-Land FS,dtn-cs,aglandfs-williamsfield,floor-cent,round-cent-either,floor-cent,0 0.25 0.5 0.75,0
Allied Cooperative,dtn-cs,alliedcooperative-adams,exact +/- 0.5c,exact +/- 0.75c,round-cent-either,-0.25 0 0.25 0.5,0
Allied Cooperative,dtn-cs,alliedcooperative-auburndale,exact +/- 0.75c,exact +/- 0.5c,round-cent-either,-0.25 0 0.25 0.5,0
Allied Cooperative,dtn-cs,alliedcooperative-blair,exact +/- 0.5c,exact +/- 0.75c,round-cent-either,-0.25 0 0.25 0.5,0
Allied Cooperative,dtn-cs,alliedcooperative-hixton,exact +/- 0.75c,exact +/- 0.5c,round-cent-either,-0.25 0 0.25 0.5,0
Allied Cooperative,dtn-cs,alliedcooperative-mauston,exact +/- 0.5c,exact +/- 0.75c,round-cent-either,-0.25 0 0.25 0.5,0
Allied Cooperative,dtn-cs,alliedcooperative-seymour,exact +/- 0.75c,exact +/- 0.5c,round-cent-either,-0.25 0 0.25 0.5,0
Allied Cooperative,dtn-cs,alliedcooperative-stratford,exact +/- 0.75c,exact +/- 0.5c,round-cent-either,-0.25 0 0.25 0.5,0
Allied Cooperative,dtn-cs,alliedcooperative-tomah,exact +/- 0.5c,exact +/- 0.75c,round-cent-either,-0.25 0 0.25 0.5,0
Allied Cooperative,dtn-cs,alliedcooperative-westsalem,exact +/- 0.5c,exact +/- 0.75c,round-cent-either,-0.25 0 0.25 0.5,0
Allied Cooperative,dtn-cs,alliedcooperative-wiscrapids,exact +/- 0.5c,exact +/- 0.75c,round-cent-either,-0.25 0 0.25 0.5,0
Country Partners Cooperative,dtn-cs,countrypartnerscooperative-agpdavidcity,round-cent,exact / exact +/- 0.75c,exact,0,0
Country Partners Cooperative,dtn-cs,countrypartnerscooperative-agphastings,round-cent,exact / exact +/- 0.75c,exact,0,0
Country Partners Cooperative,dtn-cs,countrypartnerscooperative-anselmo,exact +/- 0.75c,exact / round-cent,floor-cent,0 0.25 0.5 0.75,0
Country Partners Cooperative,dtn-cs,countrypartnerscooperative-arnold,exact +/- 0.75c,exact / round-cent,floor-cent,0 0.25 0.5 0.75,0
Country Partners Cooperative,dtn-cs,countrypartnerscooperative-cedarrapids,exact +/- 0.75c,exact / round-cent,round-cent-both,-0.75 -0.5 -0.25 0 0.25 0.5 0.75,0
Country Partners Cooperative,dtn-cs,countrypartnerscooperative-farnam,exact +/- 0.75c,exact / round-cent,floor-cent,0 0.25 0.5 0.75,0
Country Partners Cooperative,dtn-cs,countrypartnerscooperative-gothenburg,exact +/- 0.75c,exact / round-cent,floor-cent,0 0.25 0.5 0.75,0
Country Partners Cooperative,dtn-cs,countrypartnerscooperative-greenamericaord,round-cent,exact / exact +/- 0.75c,exact,0,0
Country Partners Cooperative,dtn-cs,countrypartnerscooperative-merna,exact +/- 0.75c,exact / round-cent,floor-cent,0 0.25 0.5 0.75,0
Country Partners Cooperative,dtn-cs,countrypartnerscooperative-midway,exact,exact +/- 0.75c / round-cent,exact,0,0
Country Partners Cooperative,dtn-cs,countrypartnerscooperative-northloup,exact +/- 0.75c,exact / round-cent,floor-cent,0 0.25 0.5 0.75,0
Country Partners Cooperative,dtn-cs,countrypartnerscooperative-ord,exact +/- 0.75c,exact / round-cent,floor-cent,0 0.25 0.5 0.75,0
Country Partners Cooperative,dtn-cs,countrypartnerscooperative-spalding,exact +/- 0.75c,exact / round-cent,floor-cent,0 0.25 0.5 0.75,0
Keystone Cooperative,dtn-cs,keystonecooperative-columbiacity,floor-cent,exact / round-cent / round-cent-either,floor-cent,0 0.25 0.5 0.75,0
Keystone Cooperative,dtn-cs,keystonecooperative-fremontmi,floor-cent,exact / round-cent / round-cent-either,,0 0.25 0.5,0
Keystone Cooperative,dtn-cs,keystonecooperative-hamilton,round-cent,exact / floor-cent / round-cent-either,round-cent-either,-0.25 0 0.25 0.5,98
Keystone Cooperative,dtn-cs,keystonecooperative-holland,round-cent-either,exact / floor-cent / round-cent,round-cent-either,-0.25 0 0.25 0.5,0
Keystone Cooperative,dtn-cs,keystonecooperative-legacyfeed,round-cent-either,exact / floor-cent / round-cent,round-cent-either,-0.25 0 0.25 0.5,0
Keystone Cooperative,dtn-cs,keystonecooperative-scirclevillegrain,exact,floor-cent / round-cent / round-cent-either,round-cent-either,-0.25 0 0.25 0.5,111
Keystone Cooperative,dtn-cs,keystonecooperative-unionmills,round-cent,exact / floor-cent / round-cent-either,exact,0,0
Keystone Cooperative,dtn-cs,keystonecooperative-whitecloud,round-cent-either,exact / floor-cent / round-cent,round-cent-either,-0.25 0 0.25 0.5,0
Niewohner Farms,dtn-cs,niewohnerfarms-albion,round-cent-either,round-cent,round-cent-either,-0.25 0 0.25 0.5,0
Niewohner Farms,dtn-cs,niewohnerfarms-elgin,round-cent-either,round-cent,round-cent-either,-0.25 0 0.25 0.5,0
Niewohner Farms,dtn-cs,niewohnerfarms-spalding,round-cent,round-cent-either,round-cent-either,-0.25 0 0.25 0.5,82
POET Grain,gradable,poetgrain-albertleamn,floor-cent,round-cent / round-cent-either,floor-cent,0 0.25 0.5 0.75,0
POET Grain,gradable,poetgrain-arthuria,floor-cent,round-cent / round-cent-either,floor-cent,0 0.25 0.5 0.75,0
POET Grain,gradable,poetgrain-ashtonia,floor-cent,round-cent / round-cent-either,floor-cent,0 0.25 0.5 0.75,0
POET Grain,gradable,poetgrain-bigstonecity,floor-cent,round-cent / round-cent-either,floor-cent,0 0.25 0.5 0.75,0
POET Grain,gradable,poetgrain-binghamlakemn,floor-cent,round-cent / round-cent-either,floor-cent,0 0.25 0.5 0.75,0
POET Grain,gradable,poetgrain-caromi,floor-cent,round-cent / round-cent-either,floor-cent,0 0.25 0.5 0.75,0
POET Grain,gradable,poetgrain-coonrapidsia,floor-cent,round-cent / round-cent-either,floor-cent,0 0.25 0.5 0.75,0
POET Grain,gradable,poetgrain-emmetsburgia,floor-cent,round-cent / round-cent-either,floor-cent,0 0.25 0.5 0.75,0
POET Grain,gradable,poetgrain-fairbankia,floor-cent,round-cent / round-cent-either,floor-cent,0 0.25 0.5 0.75,0
POET Grain,gradable,poetgrain-fairmontne,round-cent,floor-cent / round-cent-either,round-cent,-0.5 -0.25 0 0.25,0
POET Grain,gradable,poetgrain-fostoriaoh,floor-cent,round-cent / round-cent-either,floor-cent,0 0.25 0.5 0.75,0
POET Grain,gradable,poetgrain-gowrieia,floor-cent,round-cent / round-cent-either,floor-cent,0 0.25 0.5 0.75,0
POET Grain,gradable,poetgrain-iowafallsia,floor-cent,round-cent / round-cent-either,floor-cent,0 0.25 0.5 0.75,0
POET Grain,gradable,poetgrain-jewellia,round-cent-either,floor-cent / round-cent,round-cent-either,-0.25 0 0.25 0.5,0
POET Grain,gradable,poetgrain-lakecrystalmn,floor-cent,round-cent / round-cent-either,floor-cent,0 0.25 0.5 0.75,0
POET Grain,gradable,poetgrain-leipsicoh,floor-cent,round-cent / round-cent-either,floor-cent,0 0.25 0.5 0.75,0
POET Grain,gradable,poetgrain-menloia,floor-cent,round-cent / round-cent-either,floor-cent,0 0.25 0.5 0.75,0
POET Grain,gradable,poetgrain-northmanchesterin,floor-cent,round-cent / round-cent-either,floor-cent,0 0.25 0.5 0.75,0
POET Grain,gradable,poetgrain-shellrockia,floor-cent,round-cent / round-cent-either,floor-cent,0 0.25 0.5 0.75,0
Premier Cooperative,dtn-cs,premiercooperative-fairbanks,round-cent,exact,exact,0,0
Premier Cooperative,dtn-cs,premiercooperative-manchester,exact,round-cent,exact,0,0
Premier Cooperative,dtn-cs,premiercooperative-mazomanie,exact,round-cent,exact,0,0
Premier Cooperative,dtn-cs,premiercooperative-mineralpoint,exact,round-cent,exact,0,0
Premier Cooperative,dtn-cs,premiercooperative-newalbin,exact,round-cent,exact,0,0
Premier Cooperative,dtn-cs,premiercooperative-ossian,exact,round-cent,exact,0,0
Premier Cooperative,dtn-cs,premiercooperative-postville,exact,round-cent,exact,0,0
Premier Cooperative,dtn-cs,premiercooperative-richlandcenter,exact,round-cent,exact,0,0
Premier Cooperative,dtn-cs,premiercooperative-shellrocksoy,round-cent,exact,exact,0,0
Premier Cooperative,dtn-cs,premiercooperative-valerocc,round-cent,exact,exact,0,0
Premier Cooperative,dtn-cs,premiercooperative-viserionmcgregor,round-cent,exact,exact,0,0
Premier Cooperative,dtn-cs,premiercooperative-westby,exact,round-cent,exact,0,0
Riceland Foods,bushel,riceland-corning,exact,round-cent,round-cent,-0.375 -0.3 0,18
Riceland Foods,bushel,riceland-desarc,round-cent,exact,round-cent,-0.25 0 0.25,0
Riceland Foods,bushel,riceland-hazen,exact,round-cent,round-cent,-0.375 -0.3 0,18
Riceland Foods,bushel,riceland-hickoryridge,exact,round-cent,round-cent,-0.375 -0.3 0 0.025 0.125,29
Riceland Foods,bushel,riceland-newport,exact,round-cent,round-cent,-0.375 -0.3 0,18
Riceland Foods,bushel,riceland-pendleton,round-cent,exact,round-cent,-0.25 0 0.25,0
Riceland Foods,bushel,riceland-tuckerman,round-cent,exact,round-cent,-0.25 0 0.25,0
Riceland Foods,bushel,riceland-weiner,round-cent,exact,round-cent,-0.425 -0.375 -0.3 -0.25 -0.125 -0.075 -0.025 0 0.025 0.075 0.125 0.175 0.25,0
