s,s,s,s,s,s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Company,Location ID,Location City,Location County,Mailing Address,Mailing Address,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"541 GRAIN COMPANY, LLC",1612,COSHOCTON,COSHOCTON,54980 STATE ROUTE 541,COSHOCTON OH 43812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A. G. BOOGHER & SON, INC.",4612,SANTA FE,LOGAN,10736 SANTA FE LINE RD.,WAPAKONETA OH 45895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADM ANIMAL NUTRITION,7904,SUGARCREEK,TUSCARAWAS,"P.O. BOX C1, 1000 N. 30th STREET",QUINCY IL 62305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADM GRAIN COMPANY,2506,COLUMBUS,FRANKLIN,P. O. BOX 1470,DECATUR IL 62525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADM GRAIN COMPANY,4803,TOLEDO,LUCAS,P. O. BOX 1470,DECATUR IL 62525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AGREX, INC.",8704,COLUMBUS GROVE,WOOD,"9401 INDIAN CREEK PKWY, STE. 1450",OVERLAND PARK KS 66210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCHER DANIELS MIDLAND COMPANY,3218,FOSTORIA,HANCOCK,P.O. BOX 1470,DECATUR IL 62525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ASE FEED & SUPPLY, LLC.",8001,PLAIN CITY,UNION,211 S. JEFFERSON AVENUE,PLAIN CITY OH 43064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BAMBAUER FERTILIZER & SEED, INC.",611,NEW KNOXVILLE,AUGLAIZE,10631 KETTLERSVILLE ROAD,NEW KNOXVILLE OH 45871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BAMBAUER FERTILIZER & SEED, INC.",7507,PEMBERTON,SHELBY,10631 KETTLERSVILLE ROAD,NEW KNOXVILLE OH 45871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BELMONT MILLS, INC.",702,BELMONT,BELMONT,400 S. JEFFERSON STREET,BELMONT OH 43718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BEVERLY FEED & EQUIPMENT, INC.",8401,BEVERLY,WASHINGTON,19705 STATE ROUTE 60,BEVERLY OH 45715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BIG K MILLS, INC.",5417,SHARPSBURG,MERCER,2485 SHARPSBURG ROAD,FORT RECOVERY OH 45846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
