"Current License Status","Legal Name of Entity","Mailing Address","City, State & Zip Code","Dealer License","Warehouse Keeper License","Comments / Conditional Licenses","Dealer - Required Disclosure to Producers","Warehouse Keeper - Required Disclosure to Depositors"
"","","","","","","","https://datcp.wi.gov/Documents/DealerProducerDisclosure.pdf","https://datcp.wi.gov/Documents/WarehouseKeeperDepositorDisclosures.pdf"
"Warehouse & Dealer","121 Farms LLC","W22452 State Road 121","Independence, WI 54747","560300","559335","","ATCP 99.14(2)(a)","ATCP 99.26(2)(a)"
"Warehouse Only","24/7 Grain Services LLC","1673 6th St.","Almena, WI 54805","","264124","","n/a","ATCP 99.26(2)(a)"
"Warehouse & Dealer","Ace Ethanol, LLC","815 W Maple St.","Stanley, WI 54768","187964","331321","","ATCP 99.14(2)(b)","ATCP 99.26(2)(a)"
"Dealer Only","Adell Cooperative Union","606 Tower Ave.","Adell, WI 53001","187807","","","ATCP 99.14(2)(a)","Federal License"
"Warehouse & Dealer","Albion Grain LLC","N50704 County Highway Y","Eleva, WI 54738","255391","283119","","ATCP 99.14(2)(a)","ATCP 99.26(2)(a)"
"Dealer Only","All Star Trading Inc.","1750 E Golf Rd. Suite 388","Oak Brook, IL 60523","252739","","","ATCP 99.14(2)(a)","n/a"
"Dealer Only","Andersen Feeds, Inc.","PO Box 98","Galesville, WI 54630","188045","","","ATCP 99.14(2)(a)","ATCP 99.26(2)(c)"
"Dealer Only","Andersons, Inc. (The)","PO Box 119","Maumee, OH 43537","331802","","","ATCP 99.14(2)(a)","n/a"
"Warehouse & Dealer","Appell Grain Inc.","5883 County Road P","Shullsburg, WI 53586","310018","310017","","ATCP 99.14(2)(a)","ATCP 99.26(2)(a)"
"Dealer Only","Arno Pfeifer, Incorporated","PO Box 101","Greenbush, WI 53026","187959","","","ATCP 99.14(2)(a)","ATCP 99.26(2)(c)"
"Warehouse & Dealer","Atlas Cooperative","2120 295th Ave.","Luck, WI 54853","187897","198549","","ATCP 99.14(2)(a)","ATCP 99.26(2)(a)"
"Dealer Only","Augusta Feed Service, Inc.","PO Box 479","Augusta, WI 54722","195753","","","ATCP 99.14(2)(a)","ATCP 99.26(2)(c)"
"Warehouse & Dealer","Aurora Grains, LLC","N825 32nd Ave.","Berlin, WI 54923","206996","206997","","ATCP 99.14(2)(a)","ATCP 99.26(2)(a)"
"Dealer Only","Aztalan Bio LLC","W5289 Valero Way","Johnson Creek, WI 53038","520298","","","ATCP 99.14(2)(a)","n/a"
"Warehouse & Dealer","Badger Grain Supply, LLC","E5210 1040th Ave.","Wheeler, WI 54772","302165","302162","","ATCP 99.14(2)(a)","ATCP 99.26(2)(a)"
"Dealer Only","Badger State Ethanol, LLC","820 W 17th St.","Monroe, WI 53566","187975","","","ATCP 99.14(2)(a)","n/a"
"Dealer Only","Berlin Feed, Inc.","328 S Church St.","Berlin, WI 54923","188032","","","ATCP 99.14(2)(a)","ATCP 99.26(2)(c)"
"Dealer Only","Berlin, Shaine","35055 50th Ave","Stanley, WI 54768","557810","","","ATCP 99.14(2)(a)","ATCP 99.26(2)(c)"
"Dealer Only","Bickford Farms, Inc.","3630 Ridgevue Rd.","Ridgeway, WI 53582","331946","","","ATCP 99.14(2)(a)","n/a"
"Dealer Only","Big River Resources Boyceville, LLC","211 North Gear Suite 200","West Burlington, IA 52655","272777","","","ATCP 99.14(2)(b)","n/a"
"Dealer Only","Bluff Country Feed & Seed, LLC","158 Marten St.","Mondovi, WI 54755","510159","","","ATCP 99.14(2)(a)","n/a"
"Dealer Only","Borntrager, Mervin W.","S11845 Cty Rd M","Augusta, WI 54722","540874","","","ATCP 99.14(2)(a)","n/a"
"Dealer Only","Briess Industries, Inc.","625 S Irish Rd.","Chilton, WI 53014","188025","","","ATCP 99.14(2)(a)","n/a"
"Dealer Only","Brown, Wallace G.","15211 Dobbs Rd.","Darlington, WI 53530","187981","","","ATCP 99.14(2)(a)","n/a"
"Dealer Only","Buchholz Feed Store, Inc.","PO Box 144","Ladysmith, WI 54848","196970","","","ATCP 99.14(2)(a)","n/a"
"Dealer Only","Bunge USA Grain, LLC","1331 Capitol Ave","Omaha, NE 68102","257190","","","ATCP 99.14(2)(a)","n/a"
"Warehouse & Dealer","Burnett Dairy Cooperative","11631 State Road 70","Grantsburg, WI 54840","187883","188127","","ATCP 99.14(2)(a)","ATCP 99.26(2)(a)"
"Warehouse & Dealer","Cadott Grain Service, LLC","PO Box 63","Cadott, WI 54727","187913","188142","","ATCP 99.14(2)(a)","ATCP 99.26(2)(a)"
"Dealer Only","Camp Douglas Farmers Cooperative","107 Main St.","Camp Douglas, WI 54618","187898","","","ATCP 99.14(2)(a)","ATCP 99.26(2)(c)"
"Dealer Only","Cargill, Incorporated","PO Box 5606","Minneapolis, MN 55440","187824","","","ATCP 99.14(2)(a)","Federal License"
"Warehouse & Dealer","Carrousel Grain Service Inc.","W2702 County Road FF","Monroe, WI 53566","188033","188185","","ATCP 99.14(2)(a)","ATCP 99.26(2)(a)"
"Warehouse & Dealer","CDR Farms, LLC","18909 80th St.","Bloomer, WI 54724","281740","330132","","ATCP 99.14(2)(a)","ATCP 99.26(2)(a)"
"Dealer Only","Central Garden & Pet Company","5401 W Oakwood Park Dr.","Franklin, WI 53132","187962","","","ATCP 99.14(2)(a)","n/a"
"Dealer Only","Century Acres, Inc.","3420 Highway W","Port Washington, WI 53074","325637","","","ATCP 99.14(2)(a)","n/a"
"Dealer Only","Century Sun Oil, LLC","W926 Main Laney Dr","Pulaski, WI 54162-9170","546298","","","ATCP 99.14(2)(a)","n/a"
"Dealer Only","Cereal Byproducts Company","601 E Kensington Rd.","Mt. Prospect, IL 60056","211446","","","ATCP 99.14(2)(a)","n/a"
"Warehouse & Dealer","CFS Specialties, Inc.","300 State Highway 27","Cashton, WI 54619","188080","188210","","ATCP 99.14(2)(a)","ATCP 99.26(2)(a)"
"Warehouse & Dealer","Chaseburg Farmers Union Cooperative Service","113 Cactus Dr.","Chaseburg, WI 54621","187970","196963","","ATCP 99.14(2)(a)","ATCP 99.26(2)(a)"
"Dealer Only","Christianson Feed Mill, LLP","PO Box 216","Wauzeka, WI 53826","187940","","","ATCP 99.14(2)(a)","n/a"
"Dealer Only","CHS Inc.","PO Box 64089 MS 301","St. Paul, MN 55164","187890","","","ATCP 99.14(2)(b)","Federal License"
"Dealer Only","Clayton Feed Store, Inc.","PO Box 70","Clayton, WI 54004","187896","","","ATCP 99.14(2)(a)","ATCP 99.26(2)(c)"
"Warehouse & Dealer","Clintonville Elevator Company","215 Autumn St.","Clintonville, WI 54929","188040","188188","","ATCP 99.14(2)(a)","ATCP 99.26(2)(a)"
"Dealer Only","Cloverleaf Farm Supply, LLC","127 Elm St.","Cadott, WI 54727","187864","","","ATCP 99.14(2)(a)","n/a"
"Warehouse & Dealer","Community AG Service, Inc.","PO Box 184","Van Dyne, WI 54979","187988","188167","","ATCP 99.14(2)(a)","ATCP 99.26(2)(a)"
"Dealer Only","Complete Feed Service, LLC","3 Natural Way","Sharon, WI 53585","187979","","","ATCP 99.14(2)(a)","n/a"
"Dealer Only","Cooperative Regions of Organic Producer Pools","One Organic Way","La Farge, WI54639","264088","","","ATCP 99.14(2)(a)","n/a"
"Dealer Only","Country Visions Cooperative","1010 W Ryan St.","Brillion, WI 54110","187823","","","ATCP 99.14(2)(b)","Federal License"
"Dealer Only","Crivitz Feed Mill, LLC","PO Box 730","Crivitz, WI 54114","317159","","","ATCP 99.14(2)(a)","n/a"
"Dealer Only","CSC Gold, Inc.","11880 College Blvd","Overland Park, KS 66210","558471","","","ATCP 99.14(2)(a)","n/a"
"Warehouse & Dealer","Cushing Cooperative Society","PO Box 458","Cushing, WI 54006-0458","187840","188113","","ATCP 99.14(2)(a)","ATCP 99.26(2)(a)"
"Dealer Only","D & S Farms","323 S Madison St.","Gratiot, WI 53807","188023","","","ATCP 99.14(2)(a)","n/a"
"Dealer Only","D & S Milling, Inc.","PO Box 157","Curtiss, WI 54422","195437","","","ATCP 99.14(2)(a)","ATCP 99.26(2)(c)"
"Dealer Only","Dan Meulemans Trucking, Inc.","W411 Garrity Rd.","Kaukauna, WI 54130","188030","","","ATCP 99.14(2)(a)","n/a"
"Dealer Only","Danes Fairylane Dairy Farms, Inc.","N2556 Honeymoon Hill Rd.","New Holstein, WI 53061","215837","","","ATCP 99.14(2)(a)","n/a"
"Warehouse & Dealer","Daybreak Foods, Inc.","PO Box 800","Lake Mills, WI 53551-0800","188058","188205","","ATCP 99.14(2)(a)","ATCP 99.26(2)(a)"
"Dealer Only","DeLong Co., Inc. (The)","PO Box 552","Clinton, WI 53525","187809","","","ATCP 99.14(2)(b)","Federal License"
