"ACCT_NUM","EXPIRE_DT","CLI_NUM","CLI_LEGAL_NAME","CLI_DBA","CONTACT_NAME_PREFIX","CONTACT_NAME_FIRST","CONTACT_NAME_MIDDLE","CONTACT_NAME_LAST","CONTACT_NAME_SUFFIX","CONTACT_NAME","ATTN_NAME","FACILITY_NAME","COUNTY_NAME"
"0440758","46538.0","00340504","WEST GRAIN INC","WEST GRAIN INC","","DONNA","M","CHARANZA","","DONNA M CHARANZA","DONNA M CHARANZA","WEST GRAIN INC","MCLENNAN"
"0494362","46599.0","00378539","APEX GRAIN COMPANY LLC","ROBERTSON GRAIN","","KEVIN","","BING","","KEVIN  BING","KEVIN  BING","1 APEX GRAIN COMPANY LLC","HILL"
"0321160","46538.0","00147027","VALLEY FEED MILL INC OF PARIS","VALLEY FEED AND GRAIN ELEVATOR","","VICKI","","SHUPING","","VICKI  SHUPING","VICKI  SHUPING","4 VALLEY FEED MILL INC OF PARIS (ROXTON FEED MILL)","LAMAR"
"0750736","46630.0","00138995","ALAN RITCHEY INC","MARTINDALE FEED MILL","","DAN","F","O'REAR","","DAN F O'REAR","DAN F O'REAR","MARTINDALE FEED MILL","COOKE"
"0816528","46356.0","00139066","KELLER GRAIN INC","","","BURNELL","R","KELLER","","BURNELL R KELLER","BURNELL R KELLER","KELLER GRAIN INC","MEDINA"
"0816528","46356.0","00139066","KELLER GRAIN INC","","","BURNELL","R","KELLER","","BURNELL R KELLER","BURNELL R KELLER","2 KELLER GRAIN INC","MEDINA"
"0816528","46356.0","00139066","KELLER GRAIN INC","","","BURNELL","R","KELLER","","BURNELL R KELLER","BURNELL R KELLER","4 KELLER GRAIN INC","MEDINA"
"0816528","46356.0","00139066","KELLER GRAIN INC","","","BURNELL","R","KELLER","","BURNELL R KELLER","BURNELL R KELLER","5 KELLER GRAIN","BEXAR"
"0464217","46418.0","00028384","FARMERS COOPERATIVE SOCIETY OF STAMFORD","","","REX","A","FORD","","REX A FORD","REX A FORD","1 FARMERS COOPERATIVE SOCIETY OF STAMFORD","JONES"
"0464217","46418.0","00028384","FARMERS COOPERATIVE SOCIETY OF STAMFORD","","","REX","A","FORD","","REX A FORD","REX A FORD","2 FARMERS COOPERATIVE SOCIETY OF STAMFORD","JONES"
"0808250","46538.0","00036487","HASKELL CO-OP GIN CO","","","BETH","","POWERS","","BETH  POWERS","BETH  POWERS","HASKELL CO-OP GIN CO","HASKELL"
