State,County,City,Business Entity,Warehouse Name,License Type,License Status,[License Number],CCC Code,CCC Status,Functional Unit,Capacities,Year of Ingest Date,Month of Ingest Date,Day of Ingest Date
CA,"Colusa, CA",Grimes,Grimes Holding Company LLC,Grimes Holding Company LLC,Unlicensed,,[],,Not Applicable,1,"2,673,000",2026,September,9
GA,"Lowndes, GA",Valdosta,Archer-Daniels-Midland Company,ADM Processing Plant Elevator,Federal,I - Issued,[3-8613],,Not Applicable,1,"6,557,000",2026,September,9
IA,"Buena Vista, IA",Alta,"Platinum Crush, LLC",Platinum Crush Terminal,Federal,I - Issued,[3-10209],,Not Applicable,1,"5,371,000",2026,September,9
IA,"Greene, IA",GRAND JUNCTION,LOUIS DREYFUS COMPANY GRAND JUNCTION LLC,LOUIS DREYFUS COMPANY WAREHOUSE,Federal,I - Issued,[3-9893],,Not Applicable,1,"1,141,000",2026,September,9
IA,"Ida, IA",Galva,"FCStone Merchant Services, LLC",Quad County Corn Processors Elevator - Custom Measure,Unlicensed,,[],,Not Applicable,1,"2,616,000",2026,September,9
ID,"Canyon, ID",Greenleaf,"Greenleaf Grain, LLC",Greenleaf Grain Elevator,Federal,P - Pending,[3-10238],,Not Applicable,1,"1,659,000",2026,September,9
IL,"Mason, IL",HAVANA,CHS Inc.,CHS INC. IMPERIAL VALLEY TERMINAL,Federal,I - Issued,[3-9830],,Not Applicable,1,"1,469,000",2026,September,9
IN,"Kosciusko, IN",CLAYPOOL,Louis Dreyfus Company Agricultural Products LLC,Louis Dreyfus Company Agricultural Products LLC Elevators,Federal,I - Issued,[3-9833],,Not Applicable,1,"12,433,000",2026,September,9
KS,"Rice, KS",Lyons (RR),"Kansas Ethanol, LLC","Kansas Ethanol, LLC",Unlicensed,,[],,Not Applicable,1,"2,449,000",2026,September,9
LA,"Richland, LA",DELHI,"Greenfield Commodities, LLC",Greenfield Commodities Elevator,Federal,I - Issued,[3-10222],,Not Applicable,1,"1,485,000",2026,September,9
MI,"Kalamazoo, MI",AUGUSTA,Knappen Milling Company,KNAPPEN ELEVATOR,Federal,I - Issued,[3-3321],,Not Applicable,1,"2,000,000",2026,September,9
MN,"Hennepin, MN",Minneapolis,Riverland Ag Corp,RIVERLAND AG CORP. ELEVATOR,Federal,I - Issued,[3-9819],,Not Applicable,1,"4,608,000",2026,September,9
MN,"Scott, MN",SAVAGE,"Savage Riverport, LLC",SAVAGE RIVERPORT ELEVATOR,Federal,I - Issued,[3-10161],,Not Applicable,1,"9,276,000",2026,September,9
MN,"Scott, MN",SHAKOPEE,Riverland Ag Corp,RIVERLAND AG CORP. ELEVATOR,Federal,I - Issued,[3-9819],,Not Applicable,2,"3,380,000",2026,September,9
MN,"St. Louis, MN",Duluth,Riverland Ag Corp,RIVERLAND AG CORP. DULUTH ELEVATORS,Federal,I - Issued,[3-9951],,Not Applicable,1,"12,158,000",2026,September,9
MO,"Marion, MO",PALMYRA,"Farmers Cooperative Services, Inc.",Farmers Coop Elevator,Federal,I - Issued,[3-5393],,Not Applicable,1,"239,000",2026,September,9
MO,"St. Louis City, MO",St. Louis,ADM MILLING CO.,ADM Milling St. Louis Elevator,Federal,I - Issued,[3-9086],,Not Applicable,1,"1,923,000",2026,September,9
NC,"Person, NC",ROXBORO,"Keystone Farm Service, Inc.",Keystone Grain Elevator,Federal,I - Issued,[3-7380],,Not Applicable,1,"312,000",2026,September,9
NE,"Box Butte, NE",ALLIANCE,Western Cooperative Company,New Alliance Warehouse,Federal,I - Issued,[1-0294],,Not Applicable,1,"1,055,000",2026,September,9
NE,"Box Butte, NE",HEMINGFORD,Western Cooperative Company,New Alliance Warehouse,Federal,I - Issued,[1-0294],,Not Applicable,8,"402,000",2026,September,9
NE,"Lancaster, NE",Lincoln,ADM MILLING CO.,Gooch Mill Elevators,Federal,I - Issued,[3-5810],,Not Applicable,1,"3,477,000",2026,September,9
NE,"Morrill, NE",BRIDGEPORT,Western Cooperative Company,New Alliance Warehouse,Federal,I - Issued,[1-0294],,Not Applicable,4,"884,000",2026,September,9
NE,"Scotts Bluff, NE",GERING,Western Cooperative Company,New Alliance Warehouse,Federal,I - Issued,[1-0294],,Not Applicable,2,"475,000",2026,September,9
NE,"Scotts Bluff, NE",GERING,Western Cooperative Company,New Alliance Warehouse,Federal,I - Issued,[1-0294],,Not Applicable,3,"679,000",2026,September,9
NM,"Chaves, NM",DEXTER,The Scoular Company,THE SCOULAR COMPANY ELEVATOR,Federal,I - Issued,[3-9841],,Not Applicable,2,"1,071,000",2026,September,9
OH,"Wyandot, OH",Upper Sandusky,Louis Dreyfus Company Agricultural Products LLC,LDC Upper Sandusky Warehouse,Federal,P - Pending,[3-10234],,Not Applicable,1,"8,297,000",2026,September,9
OR,"Jefferson, OR",CULVER,"Helena Agri-Enterprises, LLC",Culver Elevator,Federal,I - Issued,[3-10052],,Not Applicable,1,"320,000",2026,September,9
SD,"Aurora, SD",Plankinton,"Plankinton Elevator Co., LLC",Ag Kota Grain,State,,[],,Not Applicable,1,"1,777,000",2026,September,9
SD,"Brown, SD",Aberdeen,"Glacial Lakes Energy, LLC","Glacial Lakes Energy, LLC",State,,[],,Not Applicable,3,"1,620,000",2026,September,9
SD,"Brown, SD",Aberdeen,"Livestock Specialists, Inc.","Livestock Specialists, Inc. - Custom Measure",State,,[],,Not Applicable,1,"13,000",2026,September,9
