# Pasted by Sig 2026-08-20, described as "an old random list that may be helpful".
# Columns: Name / URL / Phone / Address / Postal / longitude / latitude
# The utm_source=basis1st on every URL says where it came from.
#
# READ THE PROVENANCE WARNING IN THE .md BESIDE THIS FILE BEFORE USING ANY
# COORDINATE. There are two populations here and one of them is wrong.
Name	URL	Phone	Address	Postal	longitude	latitude
Ace Ethanol	https://www.aceethanol.com/cashbids-print/	715-644-2909	815 W Maple St	Stanley, WI 54768	-90.96092597	44.95941268
Ace Ethanol - Cylon	https://www.aceethanol.com/cashbids-print/			Cylon, WI	-92.38082205	45.12508889
Ag Partners	https://agpartners.net/cash-bids/		101 Broadway St N	Goodhue, MN 55027	-92.62264182	44.39979927
Alcivia	https://www.alcivia.com/wisconsin-grain-services/cash-bids-grain-wisconsin-grain/			FALL CREEK	-91.27386716	44.76461736
Alcivia	https://www.alcivia.com/wisconsin-grain-services/cash-bids-grain-wisconsin-grain/			FALL RIVER	-89.06973084	43.40412139
Alcivia	https://www.alcivia.com/wisconsin-grain-services/cash-bids-grain-wisconsin-grain/			MARKESAN	-88.86094821	42.88664596
Alcivia	https://www.alcivia.com/wisconsin-grain-services/cash-bids-grain-wisconsin-grain/			MENOMONIE FEED MILL	-91.84783773	44.90696327
Alcivia	https://www.alcivia.com/wisconsin-grain-services/cash-bids-grain-wisconsin-grain/			MONDOVI	-91.65903413	44.56865266
Alcivia	https://www.alcivia.com/wisconsin-grain-services/cash-bids-grain-wisconsin-grain/			OSSEO	-89.2041185	43.06782756
Alcivia	https://www.alcivia.com/wisconsin-grain-services/cash-bids-grain-wisconsin-grain/			WHITEWATER	-88.88292087	42.92688132
Alcivia	https://www.alcivia.com/wisconsin-grain-services/cash-bids-grain-wisconsin-grain/			BALDWIN	-92.3744316	44.96900655
Alcivia	https://www.alcivia.com/wisconsin-grain-services/cash-bids-grain-wisconsin-grain/			BELLEVILLE	-89.53049824	42.867579
Alcivia	https://www.alcivia.com/wisconsin-grain-services/cash-bids-grain-wisconsin-grain/			BURLINGTON	-88.30699999	42.85324595
Alcivia	https://www.alcivia.com/wisconsin-grain-services/cash-bids-grain-wisconsin-grain/			COTTAGE GROVE	-89.19994273	43.06523945
Alcivia	https://www.alcivia.com/wisconsin-grain-services/cash-bids-grain-wisconsin-grain/			DURAND	-91.96275756	44.6321044
